02 - Federal Entitlement,Fed/State & Fed only,,,,,,,,,,,,,
Indeterminate/Unknown - relate to enrolments for which the information is inconclusive,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Elector Count by Division, Age Groups and Gender for all States/Territories",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
As at 30 September 2019,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,16-17,18-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70+,TOTAL
Male,27,"1,589","4,905","3,661","2,969","3,548","4,319","5,025","4,614","5,041","4,377","3,641","8,258","51,974"
Indeterminate/Unknown,1,4,1,2,1,2, - ,1, - , - ,1, - , - ,13
Blaxland,42,"2,592","9,769","9,508","9,636","9,643","8,846","8,899","8,558","8,804","8,093","6,506","14,900","105,796"
Female,22,"1,315","4,791","4,829","4,937","4,763","4,378","4,495","4,230","4,344","4,003","3,280","7,849","53,236"
Male,20,"1,275","4,977","4,677","4,699","4,880","4,468","4,404","4,327","4,460","4,090","3,226","7,051","52,554"
Indeterminate/Unknown, - ,2,1,2, - , - , - , - ,1, - , - , - , - ,6
Bradfield,107,"3,162","9,008","6,515","6,045","8,144","9,468","10,625","10,107","9,788","7,748","6,771","19,883","107,371"
Female,65,"1,529","4,393","3,148","3,028","4,226","4,887","5,640","5,282","4,998","3,955","3,617","11,005","55,773"
Male,42,"1,630","4,611","3,366","3,015","3,917","4,581","4,984","4,823","4,789","3,792","3,154","8,878","51,582"
Indeterminate/Unknown, - ,3,4,1,2,1, - ,1,2,1,1, - , - ,16
Calare,40,"2,712","8,784","8,980","9,258","8,854","8,594","10,072","9,683","10,548","9,849","9,174","21,503","118,051"
Female,26,"1,367","4,287","4,565","4,617","4,483","4,348","5,163","4,874","5,322","4,944","4,610","11,547","60,153"
Male,14,"1,344","4,493","4,414","4,641","4,371","4,245","4,909","4,808","5,226","4,904","4,563","9,955","57,887"
Indeterminate/Unknown, - ,1,4,1, - , - ,1, - ,1, - ,1,1,1,11
Chifley,52,"2,993","11,068","10,685","11,309","12,022","10,231","9,885","9,105","8,802","7,873","6,507","12,541","113,073"
Female,28,"1,482","5,475","5,377","5,749","5,902","5,020","4,983","4,623","4,396","4,096","3,370","6,882","57,383"
Male,24,"1,509","5,589","5,305","5,558","6,120","5,211","4,901","4,482","4,405","3,776","3,135","5,659","55,674"
Indeterminate/Unknown, - ,2,4,3,2, - , - ,1, - ,1,1,2, - ,16
Cook,33,"2,332","7,977","7,896","7,869","8,244","8,457","9,951","9,092","9,109","8,312","7,331","20,339","106,942"
Female,18,"1,168","3,947","4,004","4,029","4,197","4,337","5,070","4,662","4,594","4,305","3,914","11,279","55,524"
Male,15,"1,162","4,028","3,891","3,837","4,046","4,119","4,881","4,429","4,515","4,007","3,417","9,060","51,407"
Indeterminate/Unknown, - ,2,2,1,3,1,1, - ,1, - , - , - , - ,11
Cowper,29,"2,475","7,640","7,383","7,579","7,874","7,971","9,724","9,509","11,317","11,967","11,633","29,110","124,211"
Female,14,"1,228","3,744","3,633","3,921","4,053","4,149","5,093","5,029","5,971","6,154","5,938","15,709","64,636"
Male,15,"1,246","3,893","3,749","3,658","3,819","3,821","4,631","4,479","5,345","5,810","5,695","13,398","59,559"
Indeterminate/Unknown, - ,1,3,1, - ,2,1, - ,1,1,3, - ,3,16
Cunningham,43,"2,793","10,914","9,776","8,964","9,005","9,099","10,047","9,031","9,903","8,853","7,586","19,557","115,571"
Female,25,"1,478","5,411","4,750","4,457","4,560","4,511","5,053","4,586","4,988","4,553","3,922","10,787","59,081"
